AMSA,07-May-2018,0.05,0.05,0.05,0.05,0
AMSE,07-May-2018,0.0121,0.0121,0.0121,0.0121,0
AMSSY,07-May-2018,46.84,46.84,46.84,46.84,500
AMSU,07-May-2018,0.05,0.05,0.05,0.05,2000
AMSYF,07-May-2018,35,35,35,35,0
AMTY,07-May-2018,0.0165,0.0197,0.0165,0.0197,7000
AMVMF,07-May-2018,53.1,53.1,52.99,53.1,1100
AMYZF,07-May-2018,0.136,0.14,0.135,0.135,28000
ANAS,07-May-2018,0.0032,0.0032,0.0032,0.0032,500
ANCUF,07-May-2018,42.12,42.12,42.12,42.12,200
ANDC,07-May-2018,24.01,24.01,24.01,24.01,0
ANDD,07-May-2018,0.0135,0.0135,0.0135,0.0135,681900
ANDI,07-May-2018,0.0051,0.0055,0.0049,0.005,41161900
ANDR,07-May-2018,0.0875,0.0879,0.073,0.0833,34200
ANFC,07-May-2018,0.026,0.026,0.0224,0.0224,48900
ANFGF,07-May-2018,13.4375,13.4375,13.35,13.35,1000
ANGCF,07-May-2018,0.044,0.044,0.0438,0.0438,900
ANGPY,07-May-2018,4.6,4.6,4.6,4.6,0
ANGUF,07-May-2018,0.0914,0.0914,0.0914,0.0914,0
ANIOY,07-May-2018,7.018,7.018,7.018,7.018,0
ANLDF,07-May-2018,0.2305,0.2305,0.206,0.206,42300
ANLKY,07-May-2018,2.1,2.1,2.1,2.1,100
ANPDY,07-May-2018,143,143,143,143,0
ANSLY,07-May-2018,80.86,80.86,80.86,80.86,1000
ANTGF,07-May-2018,0.0504,0.0609,0.0504,0.0609,15000
ANVV,07-May-2018,1.25,1.26,1.25,1.26,1000
ANXGF,07-May-2018,0.28,0.2849,0.27,0.27,10400
ANZBY,07-May-2018,20.63,20.88,20.52,20.86,51700
ANZFF,07-May-2018,2.38,2.7,2.38,2.7,2300
ANZLY,07-May-2018,12.07,12.07,12.07,12.07,0
AOGC,07-May-2018,0.0032,0.0032,0.0032,0.0032,10000
AOGN,07-May-2018,0.07,0.07,0.051,0.051,30000
AOIFF,07-May-2018,0.92,0.92,0.901,0.901,38100
AOLS,07-May-2018,0.0035,0.0035,0.0035,0.0035,2000
AONNY,07-May-2018,20.02,20.02,20.02,20.02,200
AOREF,07-May-2018,235,235,235,235,0
AOTVF,07-May-2018,0.8759,0.98,0.8759,0.98,5900
AOXG,07-May-2018,0.05,0.05,0.0409,0.0409,3100
AOXY,07-May-2018,0.13,0.13,0.13,0.13,0
AOZOY,07-May-2018,9.93,9.93,9.93,9.93,100
APAAF,07-May-2018,0.135,0.135,0.135,0.135,11000
APAFF,07-May-2018,0.0834,0.0834,0.0834,0.0834,8000
APCOF,07-May-2018,0.0338,0.0338,0.0338,0.0338,100
APELY,07-May-2018,46.75,46.75,46.75,46.75,400
APEOF,07-May-2018,0.0829,0.0829,0.0829,0.0829,50000
APEUF,07-May-2018,0.4,0.4,0.4,0.4,5000
APGI,07-May-2018,0.004,0.03,0.004,0.018,4604100
APGMF,07-May-2018,0.684,0.684,0.684,0.684,0
APHD,07-May-2018,0.0019,0.0022,0.0016,0.0016,2585900
APHE,07-May-2018,4.89,4.89,4.89,4.89,0
APHQF,07-May-2018,7.65,8,7.639,8,467100
APLD,07-May-2018,0.0036,0.0036,0.0036,0.0036,300
APLVF,07-May-2018,0.1306,0.1375,0.101,0.13,52700
APMCF,07-May-2018,0.443,0.443,0.443,0.443,100
APNHY,07-May-2018,21.54,21.69,20.98,21,10100
APNR,07-May-2018,26.5,26.5,26.5,26.5,500
APPB,07-May-2018,2.15,2.15,2,2,2100
APPG,07-May-2018,0.0001,0.0001,0.0001,0.0001,16605500
APPO,07-May-2018,0.07,0.07,0.07,0.07,0
APPZ,07-May-2018,0.0001,0.0001,0.0001,0.0001,0
APRAF,07-May-2018,0.15,0.15,0.15,0.15,45000
APRDM,07-May-2018,100.55,101,100.55,101,300
APRE,07-May-2018,0.0021,0.0021,0.0021,0.0021,0
APRU,07-May-2018,0.0255,0.0305,0.0215,0.0284,21596800
APSI,07-May-2018,0.0073,0.0073,0.0073,0.0073,5000
APTY,07-May-2018,0.0042,0.005,0.0042,0.0049,475000
APVS,07-May-2018,0.0035,0.0035,0.0034,0.0034,25000
APYP,07-May-2018,0.0003,0.0003,0.0003,0.0003,0
AQARF,07-May-2018,0.195,0.21,0.195,0.2075,92700
AQFH,07-May-2018,11.801,11.801,11.801,11.801,400
AQSZF,07-May-2018,0.2235,0.23,0.22,0.23,64100
ARAFF,07-May-2018,0.0778,0.079,0.0778,0.079,1100
ARAH,07-May-2018,0.0034,0.0046,0.0034,0.0046,20000
ARAO,07-May-2018,0.125,0.13,0.12,0.13,19000
ARBI,07-May-2018,0.005,0.005,0.005,0.005,0
ARBV,07-May-2018,19.4,19.4,19.4,19.4,0
ARCS,07-May-2018,0.0002,0.0002,0.0002,0.0002,265000
AREC,07-May-2018,1.265,1.265,1.265,1.265,100
ARESF,07-May-2018,10.5269,10.5269,10.5269,10.5269,200
ARET,07-May-2018,0.06,0.06,0.06,0.06,800
ARFXF,07-May-2018,0.3206,0.3206,0.3037,0.31,25700
ARGB,07-May-2018,0.015,0.015,0.015,0.015,0
ARGEF,07-May-2018,0.0362,0.0362,0.0362,0.0362,0
ARGKF,07-May-2018,9.62,9.71,9.62,9.71,9300
ARGL,07-May-2018,0.0251,0.0251,0.02,0.02,28900
ARGQ,07-May-2018,0.0044,0.0044,0.0042,0.0044,328100
ARGS,07-May-2018,0.21,0.21,0.178,0.1999,80400
ARGW,07-May-2018,3.21,3.21,2.2,2.6,20400
ARHH,07-May-2018,2.24,2.24,2.24,2.24,0
ARKAY,07-May-2018,126.13,126.75,126.13,126.75,1900
ARLUF,07-May-2018,20.27,20.27,20.27,20.27,0
ARMZF,07-May-2018,1.7,1.731,1.68,1.68,7300
ARNGF,07-May-2018,1.92,1.93,1.9102,1.93,3200
ARNH,07-May-2018,0.0002,0.0003,0.0001,0.0002,994284300
ARNI,07-May-2018,0.0028,0.0028,0.0028,0.0028,9000
AROFF,07-May-2018,0.7992,0.7992,0.7992,0.7992,0
AROSF,07-May-2018,0.0982,0.0982,0.0982,0.0982,10000
ARPO,07-May-2018,3.51,3.79,3.4,3.54,7400
ARREF,07-May-2018,0.7949,0.8208,0.7888,0.8177,33500
ARRRF,07-May-2018,0.674,0.6994,0.67,0.67,77200
ARRXF,07-May-2018,0.798,0.8368,0.798,0.8368,35400
ARSC,07-May-2018,0.082,0.082,0.075,0.075,2500
ARSN,07-May-2018,0.006,0.006,0.006,0.006,0
ARTH,07-May-2018,0.27,0.275,0.2611,0.2651,81000
ARTM,07-May-2018,0.0131,0.0131,0.0131,0.0131,0
ARTNB,07-May-2018,37.65,37.65,37.65,37.65,0
ARTR,07-May-2018,0.0002,0.0003,0.0002,0.0003,11927500
ARTTF,07-May-2018,0.15,0.15,0.1426,0.15,78600
ARYC,07-May-2018,0.0135,0.0135,0.0105,0.012,1328800
ARYMF,07-May-2018,0.25,0.25,0.21,0.21,12500
ARYX,07-May-2018,0.0025,0.0025,0.0025,0.0025,5000
ARZTY,07-May-2018,11.04,11.04,10.92,10.98,3500
ASAB,07-May-2018,0.0001,0.0002,0.0001,0.0001,3500400
ASAE,07-May-2018,0.0652,0.07,0.05,0.0698,105100
ASAZF,07-May-2018,21.69,21.69,21.25,21.25,2100
ASAZY,07-May-2018,10.72,10.77,10.695,10.73,64000
ASBFY,07-May-2018,37.62,37.62,37.01,37.165,4900
ASCK,07-May-2018,0.0002,0.0002,0.0002,0.0002,15950000
ASCMB,07-May-2018,5.85,5.85,5.85,5.85,100
ASCN,07-May-2018,89.25,89.25,89.25,89.25,0
ASDN,07-May-2018,0.91,1,0.91,1,1500
ASFX,07-May-2018,0.0007,0.001,0.0007,0.001,11000
ASGLY,07-May-2018,8.3,8.3,8.17,8.1788,8000
ASGXF,07-May-2018,0.0002,0.0002,0.0002,0.0002,0
ASHG,07-May-2018,532.5,532.5,532.5,532.5,0
ASHTF,07-May-2018,28.25,28.25,28.25,28.25,0
ASHTY,07-May-2018,113.95,115.47,113.95,114.68,2400
ASIUQ,07-May-2018,0.0007,0.0007,0.0007,0.0007,100
ASKH,07-May-2018,0.051,0.051,0.051,0.051,42500
ASLEF,07-May-2018,1.018,1.03,1.01,1.01,24500
ASLM,07-May-2018,0.125,0.125,0.125,0.125,500
ASMIY,07-May-2018,62,62,62,62,100
ASMLF,07-May-2018,194.9356,194.9356,194.9356,194.9356,37200
ASMVF,07-May-2018,12.5,12.5,12.5,12.5,500
ASMVY,07-May-2018,38.01,40.21,37.96,37.96,900
ASNB,07-May-2018,0.03,0.033,0.03,0.033,134200
ASNT,07-May-2018,0.0449,0.0449,0.027,0.03,79200
ASOMY,07-May-2018,82.095,82.46,82.095,82.42,2000
ASPW,07-May-2018,0.0075,0.0075,0.0075,0.0075,0
ASPZ,07-May-2018,0.13,0.13,0.1155,0.1299,33300
ASTI,07-May-2018,0.0003,0.0003,0.0002,0.0003,18469100
ASUXF,07-May-2018,0.24,0.24,0.24,0.24,0
ASWRF,07-May-2018,0.0985,0.1,0.0776,0.1,6500
ASXSF,07-May-2018,0.266,0.266,0.266,0.266,1000
ASZP,07-May-2018,0.06,0.06,0.06,0.06,100
ATADF,07-May-2018,0.432,0.432,0.432,0.432,0
ATASY,07-May-2018,16.87,16.93,16.81,16.9,5200
ATBEF,07-May-2018,0.35,0.35,0.3462,0.3462,24500
ATBPF,07-May-2018,0.3227,0.3227,0.306,0.306,59900
ATCMF,07-May-2018,0.4819,0.4819,0.4434,0.4434,38000
ATCV,07-May-2018,0.0221,0.0221,0.0221,0.0221,0
ATDRY,07-May-2018,1.31,1.32,1.29,1.29,212200
ATEA,07-May-2018,3.89,3.89,3.76,3.78,500
ATEYY,07-May-2018,25.23,25.8,25.23,25.47,2700
ATGFF,07-May-2018,19.4109,19.4478,19.35,19.4425,13300
ATGN,07-May-2018,0.62,0.63,0.585,0.63,8200
ATHC,07-May-2018,0.32,0.32,0.32,0.32,0
ATHOF,07-May-2018,1.38,1.47,1.37,1.4,58800
ATIXF,07-May-2018,0.2888,0.2888,0.2888,0.2888,2000
ATLCY,07-May-2018,36.09,36.39,36.03,36.075,5100
ATLEF,07-May-2018,0.52,0.6253,0.5,0.505,1293100
ATLKY,07-May-2018,39.5,40.03,39.5,39.74,20700
ATLRF,07-May-2018,0.03,0.03,0.03,0.03,0
ATLS,07-May-2018,0.042,0.0425,0.042,0.042,23700
ATPT,07-May-2018,0.0002,0.0002,0.0002,0.0002,2500000
ATRM,07-May-2018,0.95,0.95,0.95,0.95,0
ATROB,07-May-2018,36.25,36.25,36.25,36.25,200
ATTBF,07-May-2018,0.1583,0.172,0.1583,0.172,940400
ATUSF,07-May-2018,11.22,11.45,11.07,11.07,20300
ATVDY,07-May-2018,9.068,9.068,8.99,8.99,1400
ATVK,07-May-2018,0.555,0.8,0.555,0.8,10000
ATXG,07-May-2018,3.2,3.2,3.2,3.2,0
ATYG,07-May-2018,0.0001,0.0001,0.0001,0.0001,2230000
AUCOY,07-May-2018,10.3,10.33,9.6,9.6,600
AUDVF,07-May-2018,979.9938,996.5,979.9938,991.5,100
AUEEF,07-May-2018,0.022,0.022,0.022,0.022,0
AUIAF,07-May-2018,2.1778,2.1778,2.1073,2.1073,2700
AUKUF,07-May-2018,94.5761,94.5761,94.5761,94.5761,2600
AUNB,07-May-2018,12.85,12.9,12.81,12.9,5200
AUNFF,07-May-2018,0.193,0.2055,0.1907,0.2,41300
AURI,07-May-2018,0.0005,0.0005,0.0005,0.0005,5000
AURX,07-May-2018,0.16,0.16,0.16,0.16,1000
AUSI,07-May-2018,0.2689,0.2689,0.122,0.1731,76500
AUTLF,07-May-2018,1.37,1.37,1.37,1.37,300
AUXXF,07-May-2018,0.3266,0.3266,0.3092,0.31,8600
AVBH,07-May-2018,24.7,24.7,24.7,24.7,1900
AVCO,07-May-2018,1.9,1.9,1.9,1.9,1500
AVCVF,07-May-2018,0.178,0.178,0.178,0.178,1500
AVDX,07-May-2018,0.0091,0.0091,0.0091,0.0091,100
